original_title,production_companies,genres,runtime,vote_average,vote_count
Toy Story,Pixar Animation Studios,Animation,81.0,7.7,5415.0
Jumanji,TriStar Pictures,Adventure,104.0,6.9,2413.0
Grumpier Old Men,Warner Bros.,Romance,101.0,6.5,92.0
Waiting to Exhale,Twentieth Century Fox Film Corporation,Comedy,127.0,6.1,34.0
Father of the Bride Part II,Sandollar Productions,Comedy,106.0,5.7,173.0
Heat,Regency Enterprises,Action,170.0,7.7,1886.0
Sabrina,Paramount Pictures,Comedy,127.0,6.2,141.0
Tom and Huck,Walt Disney Pictures,Action,97.0,5.4,45.0
Sudden Death,Universal Pictures,Action,106.0,5.5,174.0
GoldenEye,United Artists,Adventure,130.0,6.6,1194.0
The American President,Columbia Pictures,Comedy,106.0,6.5,199.0
Dracula: Dead and Loving It,Columbia Pictures,Comedy,88.0,5.7,210.0
Balto,Universal Pictures,Family,78.0,7.1,423.0
Nixon,Hollywood Pictures,History,192.0,7.1,72.0
Cutthroat Island,Le Studio Canal+,Action,119.0,5.7,137.0
Casino,Universal Pictures,Drama,178.0,7.8,1343.0
Sense and Sensibility,Columbia Pictures Corporation,Drama,136.0,7.2,364.0
Four Rooms,Miramax Films,Crime,98.0,6.5,539.0
Ace Ventura: When Nature Calls,O Entertainment,Crime,90.0,6.1,1128.0
Money Train,Columbia Pictures,Action,103.0,5.4,224.0
Get Shorty,Jersey Films,Comedy,105.0,6.4,305.0
Copycat,Regency Enterprises,Drama,124.0,6.5,199.0
Assassins,Silver Pictures,Action,132.0,6.0,394.0
Powder,Caravan Pictures,Drama,111.0,6.3,143.0
Leaving Las Vegas,United Artists,Drama,112.0,7.1,365.0
Othello,Columbia Pictures,Drama,123.0,7.0,33.0
Now and Then,New Line Cinema,Comedy,100.0,6.6,91.0
Persuasion,BBC Films,Drama,104.0,7.4,36.0
Dangerous Minds,Hollywood Pictures,Drama,99.0,6.4,249.0
Twelve Monkeys,Universal Pictures,Science Fiction,129.0,7.4,2470.0
Babe,Universal Pictures,Fantasy,89.0,6.0,756.0
Carrington,StudioCanal,History,121.0,6.4,16.0
Dead Man Walking,Havoc,Drama,122.0,7.3,350.0
Across the Sea of Time,Sony New Technologies,Adventure,51.0,3.5,2.0
It Takes Two,Dualstar Productions,Comedy,101.0,6.1,149.0
Clueless,Paramount Pictures,Comedy,97.0,6.9,828.0
"Cry, the Beloved Country",Miramax,Drama,106.0,6.7,13.0
Richard III,British Screen,Drama,104.0,6.9,50.0
Dead Presidents,Caravan Pictures,Action,119.0,6.6,80.0
Restoration,Miramax Films,Drama,117.0,6.3,30.0
Mortal Kombat,New Line Cinema,Action,101.0,5.4,452.0
To Die For,The Rank Organisation,Fantasy,106.0,6.7,177.0
How To Make An American Quilt,Universal Pictures,Drama,116.0,6.5,38.0
Se7en,New Line Cinema,Crime,127.0,8.1,5915.0
Pocahontas,Walt Disney Pictures,Adventure,81.0,6.7,1509.0
When Night Is Falling,Alliance Communications Corporation,Drama,96.0,5.9,10.0
The Usual Suspects,Blue Parrot Productions,Drama,106.0,8.1,3334.0
Guardian Angel,[],Action,93.0,6.3,3.0
Mighty Aphrodite,Miramax Films,Comedy,95.0,6.7,145.0
The Big Green,Walt Disney Pictures,Action,100.0,5.2,41.0
Georgia,Miramax Films,Drama,115.0,6.1,15.0
Kids of the Round Table,Telefilm Canada,[],89.0,3.0,1.0
Home for the Holidays,Paramount Pictures,Comedy,103.0,6.3,39.0
The Indian in the Cupboard,Paramount Pictures,Adventure,96.0,5.9,136.0
Eye for an Eye,Paramount Pictures,Drama,101.0,5.8,65.0
Mr. Holland's Opus,Hollywood Pictures,Music,137.0,6.9,115.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Miramax Films,Comedy,89.0,6.2,192.0
Two If by Sea,Warner Bros.,Comedy,96.0,4.5,14.0
Bio-Dome,Metro-Goldwyn-Mayer (MGM),Comedy,88.0,4.4,110.0
Lawnmower Man 2: Beyond Cyberspace,New Line Cinema,Action,92.0,2.8,32.0
Two Bits,Miramax Films,Drama,85.0,5.4,11.0
Friday,New Line Cinema,Comedy,91.0,7.0,513.0
From Dusk Till Dawn,A Band Apart,Horror,108.0,6.9,1644.0
Fair Game,Silver Pictures,Action,91.0,4.1,54.0
Kicking and Screaming,Castleberg Productions,Comedy,96.0,7.0,36.0
Bed of Roses,New Line Cinema,Drama,87.0,5.1,27.0
Big Bully,Warner Bros.,Comedy,90.0,3.9,16.0
Screamers,The Movie Network (TMN),Horror,108.0,6.1,154.0
Nico Icon,Zweites Deutsches Fernsehen (ZDF),Documentary,70.0,7.3,3.0
The Crossing Guard,Miramax Films,Drama,111.0,6.1,74.0
The Juror,Columbia Pictures Corporation,Drama,118.0,5.5,91.0
Things to Do in Denver When You're Dead,Miramax Films,Drama,116.0,6.7,87.0
Once Upon a Time... When We Were Colored,BET Pictures,Romance,115.0,4.5,2.0
Last Summer in the Hamptons,[],[],108.0,0.0,0.0
Angels and Insects,Playhouse International Pictures,Drama,118.0,6.3,17.0
White Squall,Hollywood Pictures,Action,129.0,6.3,86.0
Dunston Checks In,Twentieth Century Fox Film Corporation,Adventure,88.0,5.1,59.0
Black Sheep,Paramount Pictures,Comedy,87.0,6.0,124.0
Nick of Time,Paramount Pictures,Crime,90.0,6.1,190.0
The Journey of August King,Miramax Films,Drama,91.0,6.7,3.0
Mary Reilly,TriStar Pictures,Drama,104.0,5.7,77.0
Vampire in Brooklyn,Paramount Pictures,Comedy,100.0,4.5,113.0
Beautiful Girls,Miramax Films,Comedy,112.0,6.6,103.0
Broken Arrow,Twentieth Century Fox Film Corporation,Action,108.0,5.7,459.0
A Midwinter's Tale,Castle Rock Entertainment,Comedy,99.0,7.5,6.0
Shopping,Channel Four Films,Action,105.0,5.6,13.0
Heidi Fleiss: Hollywood Madam,British Broadcasting Corporation (BBC),Documentary,106.0,6.8,4.0
City Hall,Columbia Pictures,Drama,111.0,6.0,67.0
Bottle Rocket,Gracie Films,Comedy,91.0,6.8,285.0
Mr. Wrong,Touchstone Pictures,Comedy,96.0,3.3,16.0
Unforgettable,Metro-Goldwyn-Mayer (MGM),Drama,106.0,5.3,22.0
Happy Gilmore,Universal Pictures,Comedy,92.0,6.5,767.0
The Bridges of Madison County,Amblin Entertainment,Drama,135.0,7.3,397.0
