userId,2001: A Space Odyssey (1968),Apocalypse Now (1979),"Big Lebowski, The (1998)","Bourne Identity, The (2002)",Clear and Present Danger (1994),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","Departed, The (2006)",Donnie Darko (2001),Ferris Bueller's Day Off (1986),"Green Mile, The (1999)",Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Indiana Jones and the Temple of Doom (1984),Interview with the Vampire: The Vampire Chronicles (1994),Jumanji (1995),Kill Bill: Vol. 2 (2004),"Shining, The (1980)",Sleepless in Seattle (1993),Star Trek: Generations (1994),There's Something About Mary (1998),Up (2009)
1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
20,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
187,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0
198,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
212,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
222,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
282,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
328,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1
330,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
372,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
432,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1
434,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
495,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
562,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
594,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
